file,field_path,type,presence_rate,null_rate,relation_relevance,simulator_relevance,initial_label,reason
characters.json,root,object:59,1.000000,0.000000,low,low,adopt,ルートエンティティ。
characters.json,root.base_param,object:59,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.con,array:59,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.con.[],number:118,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.dex,array:59,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.dex.[],number:118,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.dp,array:59,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.dp.[],number:118,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.hp,array:59,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.hp.[],number:118,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.level,array:59,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.level.[],number:118,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.luk,array:59,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.luk.[],number:118,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.sp,array:59,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.sp.[],number:118,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.spr,array:59,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.spr.[],number:118,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.str,array:59,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.str.[],number:118,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.wis,array:59,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.base_param.wis.[],number:118,1.000000,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.cards,array:59,1.000000,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[],object:339,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].ele,array:339,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].ele.[],string:179,0.915254,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].gabi,object:289|null:50,0.966102,0.147493,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].gabi.l,string:289,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].gabi.n,string:289,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].id,number:339,0.966102,0.000000,high,low,adopt,識別/結合に必要。
characters.json,root.cards.[].image,string:339,0.966102,0.000000,low,low,drop,表示・装飾寄りで戦闘シミュレーション寄与が低い。
characters.json,root.cards.[].label,string:339,0.966102,0.000000,medium,medium,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].name,string:339,0.966102,0.000000,low,medium,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].passives,array:339,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].passives.[],object:734,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].passives.[].c,string:734,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].passives.[].e,array:734,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].passives.[].e.[],array:772,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].passives.[].e.[].[],string:1631,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].passives.[].i,number:734,0.966102,0.000000,high,low,adopt,識別/結合に必要。
characters.json,root.cards.[].passives.[].l,string:734,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].passives.[].n,string:734,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].passives.[].s,number:734,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].passives.[].t,string:734,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].role,string:339,0.966102,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.cards.[].skills,array:339,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].skills.[],object:593,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].skills.[].c,number:593,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].skills.[].ct,string:593,0.966102,0.000000,low,high,adopt,戦闘計算に直接関与。
characters.json,root.cards.[].skills.[].e,array:593,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].skills.[].e.[],array:1024,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
characters.json,root.cards.[].skills.[].e.[].[],string:2357,0.966102,0.000000,low,low,hold,推測: 用途はあるが仕様確認待ち。
